id,step,task_id,subject,group_kind,claim_group_id,opposing_group_id,labels,payload_json,created_at
740,5,T_0001,10.3.7.23,risk,G_T_0001_risk_malicious,G_T_0001_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00005"",""new_group"":""G_T_0001_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0001_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_010"",""opposing_claim_id"":""C_00003""}",2026-06-28T09:40:52+08:00
741,6,T_0001,10.3.7.23,risk,G_T_0001_risk_malicious,G_T_0001_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00006"",""new_group"":""G_T_0001_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0001_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_010"",""opposing_claim_id"":""C_00003""}",2026-06-28T09:40:52+08:00
742,7,T_0001,10.3.7.23,risk,G_T_0001_risk_malicious,G_T_0001_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00007"",""new_group"":""G_T_0001_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0001_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_010"",""opposing_claim_id"":""C_00003""}",2026-06-28T09:40:52+08:00
743,8,T_0001,10.3.7.23,action,G_T_0001_action_malicious,G_T_0001_action_benign,malicious vs benign,"{""new_claim_id"":""C_00008"",""new_group"":""G_T_0001_action_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0001_action_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_009"",""opposing_claim_id"":""C_00004""}",2026-06-28T09:40:52+08:00
744,9,T_0001,10.3.7.23,risk,G_T_0001_risk_malicious,G_T_0001_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00009"",""new_group"":""G_T_0001_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0001_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_010"",""opposing_claim_id"":""C_00003""}",2026-06-28T09:40:52+08:00
745,10,T_0001,10.3.7.23,risk,G_T_0001_risk_malicious,G_T_0001_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00010"",""new_group"":""G_T_0001_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0001_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_010"",""opposing_claim_id"":""C_00003""}",2026-06-28T09:40:53+08:00
746,15,T_0002,10.6.14.36,risk,G_T_0002_risk_benign,G_T_0002_risk_malicious,benign vs malicious,"{""new_claim_id"":""C_00015"",""new_group"":""G_T_0002_risk_benign"",""new_label"":""benign"",""opposing_group"":""G_T_0002_risk_malicious"",""opposing_label"":""malicious"",""opposing_agent"":""A_N_016"",""opposing_claim_id"":""C_00013""}",2026-06-28T09:40:53+08:00
747,16,T_0002,10.6.14.36,risk,G_T_0002_risk_benign,G_T_0002_risk_malicious,benign vs malicious,"{""new_claim_id"":""C_00016"",""new_group"":""G_T_0002_risk_benign"",""new_label"":""benign"",""opposing_group"":""G_T_0002_risk_malicious"",""opposing_label"":""malicious"",""opposing_agent"":""A_N_016"",""opposing_claim_id"":""C_00013""}",2026-06-28T09:40:53+08:00
748,17,T_0002,10.6.14.36,risk,G_T_0002_risk_benign,G_T_0002_risk_malicious,benign vs malicious,"{""new_claim_id"":""C_00017"",""new_group"":""G_T_0002_risk_benign"",""new_label"":""benign"",""opposing_group"":""G_T_0002_risk_malicious"",""opposing_label"":""malicious"",""opposing_agent"":""A_N_016"",""opposing_claim_id"":""C_00013""}",2026-06-28T09:40:53+08:00
749,18,T_0002,10.6.14.36,action,G_T_0002_action_benign,G_T_0002_action_malicious,benign vs malicious,"{""new_claim_id"":""C_00018"",""new_group"":""G_T_0002_action_benign"",""new_label"":""benign"",""opposing_group"":""G_T_0002_action_malicious"",""opposing_label"":""malicious"",""opposing_agent"":""A_N_015"",""opposing_claim_id"":""C_00014""}",2026-06-28T09:40:53+08:00
750,19,T_0002,10.6.14.36,risk,G_T_0002_risk_benign,G_T_0002_risk_malicious,benign vs malicious,"{""new_claim_id"":""C_00019"",""new_group"":""G_T_0002_risk_benign"",""new_label"":""benign"",""opposing_group"":""G_T_0002_risk_malicious"",""opposing_label"":""malicious"",""opposing_agent"":""A_N_016"",""opposing_claim_id"":""C_00013""}",2026-06-28T09:40:54+08:00
751,20,T_0002,10.6.14.36,risk,G_T_0002_risk_malicious,G_T_0002_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00020"",""new_group"":""G_T_0002_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0002_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_COMM_003"",""opposing_claim_id"":""C_00019""}",2026-06-28T09:40:54+08:00
752,25,T_0003,10.9.21.49,risk,G_T_0003_risk_malicious,G_T_0003_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00025"",""new_group"":""G_T_0003_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0003_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_022"",""opposing_claim_id"":""C_00023""}",2026-06-28T09:40:54+08:00
753,26,T_0003,10.9.21.49,risk,G_T_0003_risk_malicious,G_T_0003_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00026"",""new_group"":""G_T_0003_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0003_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_022"",""opposing_claim_id"":""C_00023""}",2026-06-28T09:40:54+08:00
754,27,T_0003,10.9.21.49,risk,G_T_0003_risk_malicious,G_T_0003_risk_benign,malicious vs benign,"{""new_claim_id"":""C_00027"",""new_group"":""G_T_0003_risk_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0003_risk_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_022"",""opposing_claim_id"":""C_00023""}",2026-06-28T09:40:54+08:00
755,28,T_0003,10.9.21.49,action,G_T_0003_action_malicious,G_T_0003_action_benign,malicious vs benign,"{""new_claim_id"":""C_00028"",""new_group"":""G_T_0003_action_malicious"",""new_label"":""malicious"",""opposing_group"":""G_T_0003_action_benign"",""opposing_label"":""benign"",""opposing_agent"":""A_N_021"",""opposing_claim_id"":""C_00024""}",2026-06-28T09:40:55+08:00
